Address,Beds,Baths,Type,Area_in_sqft,Furnishing,Age_of_listing_in_days,Location,Latitude,Longitude,Distance_to_center,Geo_cluster,Location_score,Rent_per_sqft
815,2,2,1,1762,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,53.121452894438136
1514,1,2,1,810,0,12,69,25.0778021,55.13518094856796,19.61940470844985,3,0.5235815321214037,265.4320987654321
1027,3,3,1,1762,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,66.06129398410897
1531,5,2,5,1881,0,12,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,79.21318447634238
1027,1,1,1,1003,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,62.21335992023928
1443,2,3,1,1480,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,44.5945945945946
1027,1,1,1,967,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,70.73422957600827
1027,2,2,1,1685,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,44.154302670623146
1027,3,2,1,1700,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,66.3529411764706
2641,0,1,1,350,0,12,34,25.18942655,55.26481901527489,1.8065482546048213,2,0.39226945096771787,214.28285714285715
3010,1,1,1,474,1,12,34,25.18942655,55.26481901527489,1.8065482546048213,2,0.39226945096771787,158.22573839662448
1027,1,1,1,74,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,908.108108108108
1027,0,1,1,496,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,104.03225806451611
1027,3,3,1,2122,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,62.205466540999055
980,0,2,1,561,0,12,36,25.22633235,55.33809781043797,7.189059463855745,24,0.1823062608156264,140.8199643493761
2610,0,2,1,516,0,12,56,24.9144391,55.1615128,34.00214879141342,6,0.034778920832006496,85.27131782945736
1027,2,2,1,1135,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,65.55066079295155
2482,0,1,1,830,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,69.39759036144578
2756,1,2,1,762,0,12,84,25.1640592,55.28566124091724,4.755203251779568,8,0.2451916554850332,164.04199475065616
1751,1,2,1,674,0,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,137.24035608308606
147,5,6,5,5561,1,12,4,25.0267099,55.1469903,23.347593371180075,16,0.1560696987151881,76.4249235748966
2597,2,2,1,1117,0,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,132.49776186213072
2979,2,2,1,1450,1,12,117,25.2248353,55.2851186,2.647254667918991,11,0.3636768617060673,86.20689655172414
2178,2,2,1,1300,0,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,138.46153846153845
1616,2,3,1,1298,1,12,73,25.0690625,55.141165591907736,19.92409075423687,3,0.37522924942586444,92.44992295839754
1970,3,3,4,2200,1,12,110,25.01085145,55.28887629766314,21.561773702627068,15,0.061112947796148696,72.72727272727273
814,1,1,1,578,1,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,224.91176470588235
1027,1,2,1,74,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,908.108108108108
593,0,2,1,350,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,171.42857142857142
2766,3,4,4,2750,0,12,104,25.05995825,55.18239787686163,18.35501894409587,29,0.18838267415220272,109.0909090909091
593,0,2,1,420,0,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,130.95238095238096
2973,1,2,1,782,1,12,98,25.177246,55.30791298414965,4.828022717759925,28,0.23451258674729025,166.24040920716112
1787,1,2,1,871,0,12,45,25.0956188,55.13800090659106,18.043373777434777,3,0.8331690579745752,183.6969001148105
1451,1,2,1,1256,1,12,66,25.1322737,55.39813984933585,15.144156567017196,12,0.0661957407350738,45.38216560509554
316,2,2,1,1461,0,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,99.24709103353868
1951,1,1,1,760,1,12,89,25.151424,55.3753271,12.082380446422626,12,0.09103244317430158,118.42105263157896
2979,2,2,1,1450,1,12,117,25.2248299,55.2851316,2.647467625677165,11,0.3637226630149386,86.20689655172414
519,2,2,1,1531,0,12,52,25.0935245,55.1515716,17.218056383530772,3,0.4381152445075543,140.43109079033312
1135,3,2,4,2152,1,12,109,25.02426745,55.22382996438196,20.55183860358826,23,0.09868517080537427,92.93680297397768
1915,2,2,1,1970,1,12,87,25.26387,55.4207896,16.46843626022265,17,0.0547388336721028,68.52791878172589
576,0,1,1,300,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,150.0
578,0,1,1,321,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,171.33956386292834
458,3,2,4,1883,0,12,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,58.41741901221455
76,1,2,1,724,1,12,70,25.0203281,55.20083862592119,21.618745002941527,23,0.10918387933487078,124.30939226519337
